,Symbol,Token
0,AUROPHARMA-EQ,275
1,ADANIPORTS-EQ,15083
2,ASIANPAINT-EQ,236
3,BANDHANBNK-EQ,2263
4,BERGEPAINT-EQ,404
5,AMARAJABAT-EQ,100
6,APOLLOHOSP-EQ,157
7,APOLLOTYRE-EQ,163
8,BAJAJ-AUTO-EQ,16669
9,BAJAJFINSV-EQ,16675
10,BAJFINANCE-EQ,317
11,BALKRISIND-EQ,335
12,BANKBARODA-EQ,4668
13,BHARATFORG-EQ,422
14,BHARTIARTL-EQ,10604
15,MCDOWELL-N-EQ,10447
16,CUMMINSIND-EQ,1901
17,FEDERALBNK-EQ,1023
18,GODREJPROP-EQ,17875
19,PIDILITIND-EQ,2664
20,HEROMOTOCO-EQ,1348
21,HINDUNILVR-EQ,1394
22,IBULHSGFIN-EQ,30125
23,SRTRANSFIN-EQ,4306
24,ICICIPRULI-EQ,18652
25,IDFCFIRSTB-EQ,11184
26,TATACONSUM-EQ,3432
27,INDUSINDBK-EQ,5258
28,INDUSTOWER-EQ,29135
29,TATAMOTORS-EQ,3456
30,JINDALSTEL-EQ,6733
31,TORNTPHARM-EQ,3518
32,TORNTPOWER-EQ,13786
33,MANAPPURAM-EQ,19061
34,MOTHERSUMI-EQ,4204
35,MUTHOOTFIN-EQ,23650
36,NATIONALUM-EQ,6364
37,NAVINFLUOR-EQ,14672
38,ULTRACEMCO-EQ,11532
39,LALPATHLAB-EQ,11654
